"s0q_B" "s0q_V" "s0q_M" "s0q_SE" "s1q_B" "s1q_V" "s1q_M" "s1q_SE" "lq_B" "lq_V" "lq_M" "lq_SE" "cb_B" "cb_V" "cb_M" "cb_SE" "Qntl" "SS" "Scenario"
0.0560312637731126 0.202015505924865 0.209544641757926 0.0352256204241914 0.0783607287654615 0.228503160250888 0.241457831438643 0.0441498552927545 1.92626164721189 1.60126745371727 2.50439160963204 0.101785124430692 0.0204939110661349 0.225451420911521 0.22626867931426 0.0458564573198855 5 "100" "Mixed"
0.0597979366704609 0.134908679340248 0.147505744429202 0.0234273969076915 0.0239805157132601 0.152156086080327 0.153959047121715 0.0311610144938528 0.225365673604395 0.275936440507994 0.356166344732605 0.0854838024342102 0.0108269423432913 0.149299112504153 0.14961670177503 0.0398714232454911 50 "100" "Mixed"
0.0677596663178149 0.221313913830629 0.231348743212661 0.0340512284799587 0.0453339685165889 0.252275608796937 0.25619232719294 0.0443815358546685 1.68428336736491 1.25796740482754 2.10183490579042 0.107015417636721 0.0127144851003501 0.24050399310407 0.240719726361739 0.0482772983030761 90 "100" "Mixed"
0.0719698555831342 0.262937094388833 0.272481999043412 0.0402665170609827 0.067215437752578 0.299789433455817 0.307085893162839 0.0515490783811781 2.21831192941757 1.59949816328303 2.73436350841795 0.186072644837454 0.0260543449304768 0.306888182139642 0.307839251672676 0.0551421216602035 95 "100" "Mixed"
0.0227757627422197 0.125546497230186 0.127533902991684 0.0286881636052716 0.0295132900427223 0.1282453009873 0.131534956027832 0.0215711031901048 2.00147455697298 1.53639933783893 2.52270941739171 0.0918645589449608 0.0153347878563365 0.118915176769362 0.119840870179674 0.021048285155476 5 "300" "Mixed"
0.01691371554424 0.0823848523479465 0.0840627765780314 0.0175419565971287 0.00898405307699664 0.0836058996384785 0.0840456406816872 0.0150571206721296 0.225141872046944 0.111761282011717 0.251330372461325 0.0153670038317879 0.00925471291819724 0.078955368532674 0.0794566924878483 0.0204696487655931 50 "300" "Mixed"
0.0170260272619653 0.137477794565116 0.138459847821724 0.0203762373672898 0.013464751164748 0.142609562619032 0.143172795554776 0.0203643506864188 1.71487920823267 1.19800627055066 2.09155313202489 0.1025264965427 0.00787208500876511 0.127757525668633 0.12793605083006 0.0235463309820258 90 "300" "Mixed"
0.0235930504311943 0.164248287252297 0.165852809424793 0.0274546220076967 0.0182668397459064 0.169751809315366 0.17064740995215 0.0241193677117748 2.24955398935351 1.53516756985382 2.72302696995084 0.182171221113278 0.0159349029215039 0.162784799521904 0.16348184362659 0.0258912774973773 95 "300" "Mixed"
0.0144789635114688 0.0956981386557961 0.0967399400082935 0.0158235451012401 0.0223860872375558 0.105572418623358 0.107868099733976 0.0185418032505874 2.04711225971542 1.49054864490939 2.53183374877885 0.0866838595839568 0.0147592651942516 0.0911539318962082 0.0922960788436468 0.0158141748998843 5 "500" "Mixed"
0.00768248492946893 0.0638678180539027 0.0642964980343018 0.011435982926575 0.00655229089599543 0.0698136226382395 0.0700856652957962 0.0130571589743673 0.224797439154413 0.0856547192436791 0.24054788057301 0.0110733359331719 0.00906042258416144 0.0612862894890979 0.0619220843275302 0.0170656652613985 50 "500" "Mixed"
0.00919368823759678 0.108861790444177 0.109195065972338 0.0165126794878141 0.0105210131925734 0.117788751195038 0.118199016225926 0.0195237817519519 1.75437098057157 1.16196362834847 2.10395504980567 0.10089524467442 0.00759372615648989 0.0982152615612077 0.0984594131755449 0.0185546541904572 90 "500" "Mixed"
0.0162336449137564 0.128298457472952 0.129257746084847 0.0190358771926147 0.0132568376748065 0.139317088007623 0.139877037089899 0.0229474681139943 2.30218615332862 1.48986760033414 2.7418145170009 0.179331656156085 0.0155770979709277 0.12512302503837 0.126026828907791 0.0199879411068312 95 "500" "Mixed"
0.0448798773661078 0.157358730484194 0.163557976515774 0.0235149509142334 0.10696304763798 0.176539517313735 0.206339837482242 0.0329227354814619 1.8154170913183 1.59678617947038 2.41721235978456 0.105491491000309 0.014773852682229 0.151232956014421 0.151877589857593 0.0270813895842012 5 "100" "Positive"
0.0505135656096807 0.147160597939867 0.155519148837166 0.0250292823155531 0.0302667057468031 0.165217936233065 0.167886101162138 0.0333329418576487 0.178678764409476 0.276542802575855 0.329128465170894 0.0874097119149498 0.00511439944366393 0.143885441163213 0.143904392706488 0.0396654000130811 50 "100" "Positive"
0.0568225484114958 0.256396904492728 0.262492733744758 0.0348793494536994 0.0389770019368797 0.291233843700826 0.293686127089837 0.0459756937216815 1.76008893477265 1.25613559677073 2.16199255760658 0.0589865413350397 0.011096723197527 0.273648969853406 0.273737122453004 0.0484258767887418 90 "100" "Positive"
0.0601628418548027 0.304105730818471 0.309850581347148 0.0403142487784125 0.0474268234625128 0.345763613619301 0.348829797480546 0.0530815673929118 2.38291611636227 1.59680322184642 2.86801673049319 0.0708520531737768 0.0239217665533949 0.352098688682727 0.352734693502864 0.0545771888792442 95 "100" "Positive"
0.0110462518017225 0.0940285496822644 0.0946284654111108 0.0121166965948053 0.0371911566700177 0.102124786229377 0.108638044095461 0.0154716167235043 1.90089250302734 1.50283660905437 2.42273639996308 0.0860890344638298 0.00484701188201287 0.079554366046987 0.0796621728561633 0.0127203020939604 5 "300" "Positive"
0.0085584959206074 0.088644609801147 0.0890126779305839 0.0160951029633145 0.0108042710765554 0.0957414080067329 0.0963015216048027 0.0186139107079675 0.179086581785703 0.112053423616369 0.211223619773198 0.0102499046274641 0.00226207343301277 0.0758739369338647 0.0758697200980376 0.0199699007100454 50 "300" "Positive"
