"s0q_B" "s0q_V" "s0q_M" "s0q_SE" "s1q_B" "s1q_V" "s1q_M" "s1q_SE" "lq_B" "lq_V" "lq_M" "lq_SE" "cb_B" "cb_V" "cb_M" "cb_SE" "Qntl" "SS" "Scenario"
0.0535560136619216 0.184868535881428 0.192380991219871 0.0314336366288157 0.0811307187811553 0.206065259883466 0.221365358557875 0.03891975026934 1.91247328857761 1.49665984059197 2.42802486957716 0.0962389650256871 0.0200813562009205 0.201439660164865 0.202337884780674 0.0395598233923001 5 "100" "Mixed"
0.0573388498612049 0.126904043935502 0.139198690490329 0.0214460812436197 0.0258163589888966 0.141391031559814 0.143659029556747 0.0286490359318795 0.22535569871994 0.25500130938864 0.340214392799134 0.0768282226486412 0.0106044875901751 0.135235381676034 0.135583092624618 0.0358455490210918 50 "100" "Mixed"
0.0651213320937092 0.203367077997845 0.213442259495694 0.0317037222360757 0.0460571788434132 0.228952307207743 0.233426655589689 0.0408859701633767 1.65942276549601 1.17611031096807 2.0336017660172 0.104342956910551 0.0126380345748674 0.214813312991891 0.21507750834764 0.0429065319364133 90 "100" "Mixed"
0.0692470010329793 0.240811899166742 0.250454641724953 0.0371912125941874 0.0692720749194962 0.270823192739589 0.279410946255853 0.0473767537389964 2.1825173955843 1.49565593694696 2.64539824545777 0.181356590963288 0.0254938355813626 0.271610651748635 0.272669230845405 0.0492519780842103 95 "100" "Mixed"
0.0216205503951492 0.11299870017849 0.114992981243097 0.0235194375733566 0.028859577441893 0.115189315934161 0.11869366089644 0.0200429223584592 1.94061642103234 1.47693830249656 2.43826936498254 0.0898296207205149 0.0151552577393254 0.106024594069592 0.107049778935874 0.0184206459754886 5 "300" "Mixed"
0.0164307039531956 0.0762637112089475 0.0779763138787154 0.0145663864985905 0.00863243754139689 0.0774816512533215 0.0779225375136521 0.0141949722065656 0.225160832657089 0.104162294707977 0.248065181793065 0.0141621722925873 0.00924463598260673 0.0718367516574761 0.0723935194907673 0.0185552119830259 50 "300" "Mixed"
0.0168117802451721 0.124504877717266 0.125573082568789 0.0187976119289955 0.0131738104168698 0.128694743335535 0.129303224654827 0.0190787967273777 1.66668435675735 1.15098208048111 2.02515968133347 0.102075278290129 0.0076588981143987 0.11450423490159 0.114702952494322 0.0211755297905637 90 "300" "Mixed"
0.0234737875483326 0.147710489887556 0.149491100523955 0.0234562378839191 0.0177846474224317 0.152283226531923 0.153242567799649 0.0222611670378142 2.18708670542404 1.47514480661012 2.63765509597274 0.180635562972595 0.0157699962764337 0.144160778182085 0.144949095956673 0.0225695431029261 95 "300" "Mixed"
0.0144694130365068 0.0861070525725496 0.0872718396268242 0.0141809693845542 0.0220019232871783 0.0941817670899398 0.0966717108324165 0.0171038054155444 1.94986560799291 1.47806425499839 2.44631665104819 0.0897331493590497 0.0146691012774418 0.0815741137712078 0.0828424060117054 0.0137397356038285 5 "500" "Mixed"
0.00751680269673066 0.0594110022786632 0.0598551572326491 0.0107014941788392 0.00639024723810955 0.0643486164792866 0.0646331103856196 0.012332504682872 0.224797164170499 0.0798281112848556 0.238537040819773 0.0102377829720291 0.00903762700901135 0.055501013691686 0.0562046337968492 0.0153606391014727 50 "500" "Mixed"
0.0088360169633302 0.0987055719536322 0.0990511097390394 0.015615779977886 0.0102772790166815 0.105420981293037 0.105868277484224 0.0181917531507556 1.67180689491338 1.1520044116372 2.02995698086118 0.101557001147166 0.00738933701129832 0.0879312364582794 0.0881973511178386 0.0165816120722001 90 "500" "Mixed"
0.0159816438118332 0.115699325353593 0.116740569179346 0.0179640845860653 0.0128642225254262 0.123968643176488 0.124572647429971 0.0212447578740445 2.19337937990201 1.47729507872751 2.644074782048 0.181534956457829 0.0153396414508072 0.111001217864783 0.112001132569885 0.0178775512723305 95 "500" "Mixed"
0.0439214538161259 0.14152205472846 0.148113326841013 0.0208425492579789 0.109039380061383 0.158123382819384 0.19200934246599 0.0313755813083863 1.76274430130186 1.50595211053795 2.31794981378948 0.102556899561692 0.0134373688982828 0.133803506097528 0.134409961493395 0.0234709606683537 5 "100" "Positive"
0.0496527706709386 0.137151803435828 0.145798505492392 0.0229341162633278 0.0311256040888862 0.153767067369052 0.156810299171226 0.0308544618851955 0.17876966330834 0.256046656687519 0.312174507334971 0.0795651294290475 0.00459472438022822 0.130252273196165 0.130268186869342 0.035246064388945 50 "100" "Positive"
